progress,duration_in_seconds_,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Age:,Gender:,Occupation:,Income level ( If applicable ),How familiar are you with digital marketing campaigns-,"Have you interacted with gamified marketing campaigns (e.g., reward points, leaderboards, challenges) before?",Which gamification features appeal to you the most? (Select all that apply),What motivates you to participate in gamified campaigns? (Select all that apply),How often do you engage with gamified marketing campaigns?,What type of reward system do you prefer in gamified campaigns?,How likely are you to make a purchase after participating in a gamified campaign?,Which platform do you prefer for gamified campaigns?,How do gamified campaigns influence your perception of a brand?,How important is personalization in gamified campaigns for you?,How long are you willing to spend on a gamified activity?,Do you prefer gamified campaigns tailored for your age group?,Which of the following appeals to you in a gamified campaign?,Do you think gamified campaigns should be based on local culture or global trends?,What would make a gamified campaign more engaging for you?,Any additional comments or suggestions regarding gamification in digital marketing?
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID20_TEXT""}"
100,63,1,2024-11-30 15:39:16,R_7gjXmc0u0LMEOG9,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,34.0544,-118.244,preview,EN,2,2,1,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,…..,No
100,23,1,2024-11-30 15:56:01,R_1pm8Upb2GBYSKON,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.2507,-121.836,preview,EN,2,1,2,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
100,21,1,2024-11-30 16:42:26,R_6N6KnGUFBAIxptL,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,2,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
100,169,1,2024-11-30 16:48:26,R_1HZVs4zX24VYRO7,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,42.4649,-90.6829,anonymous,EN,2,1,1,1,3,3,1,2,3,1,4,1,4,3,3,3,2,3,'----',No
100,37,1,2024-12-05 00:22:14,R_3Kd8r3ml0u54Jot,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,'----',No
100,158,1,2024-12-05 00:24:47,R_4Qiot7zDzskjdNn,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,2,1,2,1,2,3,1,2,2,1,4,1,4,4,2,3,2,3,'----',No
100,145,1,2024-12-05 00:42:21,R_4q8uGrG1UWA2JX3,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,19.0748,72.8856,anonymous,EN,2,1,1,2,2,3,1,2,2,1,3,1,2,1,1,2,1,3,'----',No
100,163,1,2024-12-05 00:59:00,R_6M0e78IlIpBK3sY,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,3,3,3,1,2,3,5,2,3,4,3,3,3,3,More interesting challenges and valuable information to attract information. ,No
100,824,1,2024-12-05 01:31:40,R_7i23Z0KJChmde2f,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,4,3,3,2,2,3,2,1,3,3,2,4,3,2,3,By keeping known celebrities as campaigners ,NO COMMENTS
